record_id,year,region_code,region_name,facility,baseline_tco2e,reported_reduction_tco2e,net_tco2e,verification_status,source_office,data_status
VER-2024-037,2024,R02,Cagayan Valley,Synthetic Facility 37,64211.6,4071.8,60139.8,submitted,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2024-038,2024,R03,Central Luzon,Synthetic Facility 38,86902.2,5269.3,81632.9,desk-checked,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2024-039,2024,R04A,CALABARZON,Synthetic Facility 39,13469.1,987,12482.2,validated,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2024-040,2024,MIMAROPA,MIMAROPA Region,Synthetic Facility 40,18428.9,2909.1,15519.9,for clarification,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2024-041,2024,R05,Bicol Region,Synthetic Facility 41,14015.9,1141.5,12874.4,submitted,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2024-042,2024,R06,Western Visayas,Synthetic Facility 42,64507.4,4282.4,60225,desk-checked,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2025-001,2025,R01,Ilocos Region,Synthetic Facility 01,45195.3,3513.3,41682,submitted,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2025-002,2025,R02,Cagayan Valley,Synthetic Facility 02,38817.8,6638.3,32179.5,desk-checked,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2025-003,2025,R03,Central Luzon,Synthetic Facility 03,31946.8,1225.9,30720.9,validated,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2025-004,2025,R04A,CALABARZON,Synthetic Facility 04,1777.5,63.9,1713.6,for clarification,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2025-005,2025,MIMAROPA,MIMAROPA Region,Synthetic Facility 05,40585.1,2325.6,38259.6,submitted,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2025-006,2025,R05,Bicol Region,Synthetic Facility 06,51993.9,989.4,51004.5,desk-checked,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2025-007,2025,R06,Western Visayas,Synthetic Facility 07,85219.1,11386.2,73832.9,validated,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2025-008,2025,R07,Central Visayas,Synthetic Facility 08,20398.8,769.5,19629.4,for clarification,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2025-009,2025,R08,Eastern Visayas,Synthetic Facility 09,63767.7,9549.8,54218,submitted,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2025-010,2025,R09,Zamboanga Peninsula,Synthetic Facility 10,28052.7,1650.4,26402.2,desk-checked,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2025-011,2025,R10,Northern Mindanao,Synthetic Facility 11,9686.6,776.6,8910,validated,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2025-012,2025,R11,Davao Region,Synthetic Facility 12,43171.5,3001.5,40170,for clarification,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2025-013,2025,R12,SOCCSKSARGEN,Synthetic Facility 13,34774.2,2632.9,32141.3,submitted,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2025-014,2025,R13,Caraga,Synthetic Facility 14,20419.8,3293.8,17126,desk-checked,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2025-015,2025,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 15,70877.2,5853.1,65024,validated,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2025-016,2025,NCR,National Capital Region,Synthetic Facility 16,75761.4,7840.5,67920.9,for clarification,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2025-017,2025,CAR,Cordillera Administrative Region,Synthetic Facility 17,9170.7,1579.9,7590.8,submitted,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2025-018,2025,R01,Ilocos Region,Synthetic Facility 18,33459.9,3494.8,29965.1,desk-checked,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2025-019,2025,R02,Cagayan Valley,Synthetic Facility 19,14688,513.3,14174.8,validated,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2025-020,2025,R03,Central Luzon,Synthetic Facility 20,46199.2,6348.6,39850.6,for clarification,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2025-021,2025,R04A,CALABARZON,Synthetic Facility 21,38124.5,5701.4,32423.1,submitted,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2025-022,2025,MIMAROPA,MIMAROPA Region,Synthetic Facility 22,38669.9,2740.9,35928.9,desk-checked,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2025-023,2025,R05,Bicol Region,Synthetic Facility 23,71178.9,2877.4,68301.5,validated,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2025-024,2025,R06,Western Visayas,Synthetic Facility 24,28830.5,1886,26944.5,for clarification,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2025-025,2025,R07,Central Visayas,Synthetic Facility 25,18582.3,1537.2,17045.1,submitted,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2025-026,2025,R08,Eastern Visayas,Synthetic Facility 26,36054.8,1950.9,34103.9,desk-checked,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2025-027,2025,R09,Zamboanga Peninsula,Synthetic Facility 27,57721.7,9366.4,48355.2,validated,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2025-028,2025,R10,Northern Mindanao,Synthetic Facility 28,76755.8,11025.7,65730.1,for clarification,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2025-029,2025,R11,Davao Region,Synthetic Facility 29,85403.2,9439,75964.2,submitted,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2025-030,2025,R12,SOCCSKSARGEN,Synthetic Facility 30,43565.5,3184.2,40381.3,desk-checked,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2025-031,2025,R13,Caraga,Synthetic Facility 31,30080.6,3484.1,26596.5,validated,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2025-032,2025,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 32,64913.9,11351.4,53562.5,for clarification,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2025-033,2025,NCR,National Capital Region,Synthetic Facility 33,72368.1,6680.1,65688.1,submitted,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2025-034,2025,CAR,Cordillera Administrative Region,Synthetic Facility 34,88989.5,4361.3,84628.2,desk-checked,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2025-035,2025,R01,Ilocos Region,Synthetic Facility 35,36231.9,4054,32177.9,validated,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2025-036,2025,R02,Cagayan Valley,Synthetic Facility 36,52966.6,8775.1,44191.5,for clarification,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2025-037,2025,R03,Central Luzon,Synthetic Facility 37,71542.4,6768.1,64774.3,submitted,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2025-038,2025,R04A,CALABARZON,Synthetic Facility 38,51486.7,5721.5,45765.2,desk-checked,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2025-039,2025,MIMAROPA,MIMAROPA Region,Synthetic Facility 39,41423.1,5046.3,36376.8,validated,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2025-040,2025,R05,Bicol Region,Synthetic Facility 40,73623.5,11507.3,62116.2,for clarification,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2025-041,2025,R06,Western Visayas,Synthetic Facility 41,88576.7,2831.4,85745.3,submitted,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2025-042,2025,R07,Central Visayas,Synthetic Facility 42,37814.3,5584.2,32230.1,desk-checked,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
